id_point,building_id,last_updated,first_updated,device,objectId,name_point,description,units,tagged_units,raw_unit_id,value,type,point_type_id,measurement_id,datasource_hash,topic,equip_id,id_bdg,name_bdg,equip_type_abbr,equip_type_name,area_served_desc,tags
227111,371,1568952900000.0,1552967101000.0,,,,150 East 34th Street Steam Valve CommandedVlvPos,%,,3,0,Steam Valve Position,194,7,9d24799d1b7908a2ec861fa47599c8fa,nyserda+0000095480+hotWaterPlant+150 East 34th Street Steam Valve CommandedVlvPos,22264,371,95480,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
227103,371,1568952900000.0,1552964401000.0,,,,150 East 34th Street Boiler Plant OilTankLlv_Graphic,,,23,7132.62,Virtual,434,18,2e0f0354739f1f22a8ec979b7df3711a,nyserda+0000095480+hotWaterPlant+150 East 34th Street Boiler Plant OilTankLlv_Graphic,22264,371,95480,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
227099,371,1568952900000.0,1552967100000.0,,,,150 East 34th Street Boiler Plant BoilerRoomTemp,F,,2,98.32,Zone Temperature,77,1,3260703c1a91f4e288e617d2990bb7ac,nyserda+0000095480+hotWaterPlant+150 East 34th Street Boiler Plant BoilerRoomTemp,22264,371,95480,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
227100,371,1568952900000.0,1552967100000.0,,,,150 East 34th Street Boiler Plant CondensateRtnTemp,F,,2,111.40,Chilled Water Return Temperature,93,1,936250bd0d356f39611e557c7c80197b,nyserda+0000095480+hotWaterPlant+150 East 34th Street Boiler Plant CondensateRtnTemp,22264,371,95480,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
227119,371,1568952900000.0,1552967101000.0,,,,150 East 34th Street Steam Valve SteamPrsSetpt,,,23,1,Virtual,434,18,b9a8854b17c6aa5120a710f6ca00f0ca,nyserda+0000095480+hotWaterPlant+150 East 34th Street Steam Valve SteamPrsSetpt,22264,371,95480,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
227114,371,1568952900000.0,1556769600000.0,,,,150 East 34th Street Steam Valve OaLkoutDay,,,23,55,Virtual,434,18,f8720a1af447874b8ed1aedebe8c5d38,nyserda+0000095480+hotWaterPlant+150 East 34th Street Steam Valve OaLkoutDay,22264,371,95480,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
227123,371,1568952900000.0,1553030111000.0,,,,150 East 34th Street Steam Valve VlvCtlMode,%,,3,false,Steam Valve Position,194,7,efb86de4fd0d928b3ae810c2e0908a08,nyserda+0000095480+hotWaterPlant+150 East 34th Street Steam Valve VlvCtlMode,22264,371,95480,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
227105,371,1568952900000.0,1552967940000.0,,,,150 East 34th Street Boiler Plant PostVlvStmPrs,,,23,0.09,Virtual,434,18,f1bbe4e0aa9b25d516a428252a245e42,nyserda+0000095480+hotWaterPlant+150 East 34th Street Boiler Plant PostVlvStmPrs,22264,371,95480,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
227108,371,1568952900000.0,1552967101000.0,,,,150 East 34th Street Boiler Plant VacPump1Enable,On/Off,,20,false,Command,166,11,f29f0d88047add03d4f7ea73103d6197,nyserda+0000095480+hotWaterPlant+150 East 34th Street Boiler Plant VacPump1Enable,22264,371,95480,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
227126,371,1568952900000.0,1552070818000.0,,,,150 East 34th Street Steam Valve VlvPosOvrEnable,,,23,false,Virtual,434,18,5228006ac95e4cdfb3e46f36c9a6445d,nyserda+0000095480+hotWaterPlant+150 East 34th Street Steam Valve VlvPosOvrEnable,22264,371,95480,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
